Country,ScenarioLabel,TreatmentYear,PreferredConvention,Year,TreatedOutcome,SyntheticOutcome,GapLevel,GapPct
Chile,2009 placebo start,2009,False,2009,2185788.523,2339856.579087983,-154068.05608798284,-7.048625906248426
Chile,2009 placebo start,2009,False,2010,2200720.16,2359646.6692739325,-158926.50927393232,-7.2215682921690645
Chile,2009 placebo start,2009,False,2011,2390392.714,2625832.799442146,-235440.08544214582,-9.849431186065178
Chile,2009 placebo start,2009,False,2012,2484540.292,2651582.715826726,-167042.42382672615,-6.723272887325997
Chile,2009 placebo start,2009,False,2013,2595026.948,2954740.63643481,-359713.6884348099,-13.86165522142431
Chile,2009 placebo start,2009,False,2014,2797294.751,3432200.73420798,-634905.9832079797,-22.697142765559768
Chile,2009 placebo start,2009,False,2015,3128744.949,3691264.9016091363,-562519.9526091362,-17.979092632300603
Chile,2009 placebo start,2009,False,2016,3153363.4950981685,3776426.4595731376,-623062.9644749691,-19.75867880260256
Chile,2009 placebo start,2009,False,2017,3127655.629002725,3940347.791941761,-812692.1629390363,-25.98406791984861
Chile,2009 placebo start,2009,False,2018,3340806.7888052226,4147015.354753432,-806208.5659482093,-24.132151809848747
Chile,2009 placebo start,2009,False,2019,3279486.748841041,4182107.0236109025,-902620.2747698617,-27.523217622051515
Chile,2009 placebo start,2009,False,2020,3176952.517283234,3953430.5489509087,-776478.0316676749,-24.44097062966742
Chile,2009 placebo start,2009,False,2021,3426979.2132610865,4278966.5632533375,-851987.349992251,-24.86117647563746
Chile,2009 placebo start,2009,False,2022,3478686.753386885,4415445.367951405,-936758.6145645203,-26.92851299854701
Chile,2009 placebo start,2009,False,2023,3479062.929101846,4447183.914180864,-968120.9850790175,-27.82706161997901
Chile,2010 baseline start,2010,True,1985,856455.2804,1040555.4300054924,-184100.14960549236,-21.495593969542693
Chile,2010 baseline start,2010,True,1986,913021.4595,1097427.6027059075,-184406.14320590755,-20.197350378477882
Chile,2010 baseline start,2010,True,1987,937390.8662,1156737.7009389475,-219346.83473894745,-23.399719652500647
Chile,2010 baseline start,2010,True,1988,1009180.574,1184949.6802614871,-175769.10626148712,-17.417012454451697
Chile,2010 baseline start,2010,True,1989,1033344.581,1221783.165988638,-188438.58498863806,-18.235793602002552
Chile,2010 baseline start,2010,True,1990,1067627.18,1246771.399699273,-179144.21969927312,-16.779660826850918
Chile,2010 baseline start,2010,True,1991,1165204.032,1255607.234081676,-90403.2020816761,-7.758572713356017
Chile,2010 baseline start,2010,True,1992,1330369.726,1370587.9569949205,-40218.23099492048,-3.023086756178972
Chile,2010 baseline start,2010,True,1993,1346841.761,1430179.8101452189,-83338.04914521892,-6.187664472427873
Chile,2010 baseline start,2010,True,1994,1489088.481,1500070.1435694187,-10981.662569418782,-0.7374754898408742
Chile,2010 baseline start,2010,True,1995,1600176.293,1574625.158000124,25551.134999876143,1.5967700003837102
Chile,2010 baseline start,2010,True,1996,1597085.711,1641891.4943009496,-44805.783300949726,-2.805471427885671
Chile,2010 baseline start,2010,True,1997,1636252.443,1710685.9530245278,-74433.51002452779,-4.5490236144770595
Chile,2010 baseline start,2010,True,1998,1661033.28,1754167.2157942988,-93133.93579429877,-5.60698794634017
Chile,2010 baseline start,2010,True,1999,1642218.688,1741309.1650002513,-99090.47700025118,-6.0339391899704875
Chile,2010 baseline start,2010,True,2000,1779899.31,1865483.5102384747,-85584.20023847464,-4.808373134235029
Chile,2010 baseline start,2010,True,2001,1857114.713,1886968.4196186455,-29853.70661864546,-1.6075316408656046
Chile,2010 baseline start,2010,True,2002,1857540.161,1965312.082480973,-107771.92148097302,-5.801862255454783
Chile,2010 baseline start,2010,True,2003,1893727.082,1955912.9465148966,-62185.864514896646,-3.2837817606336923
Chile,2010 baseline start,2010,True,2004,1980969.704,2077508.0778698018,-96538.37386980187,-4.87328875726218
Chile,2010 baseline start,2010,True,2005,2125212.491,2159474.0764710605,-34261.58547106059,-1.6121486964787748
Chile,2010 baseline start,2010,True,2006,2234582.32,2216258.196377894,18324.123622105923,0.8200245503645587
