Country,ScenarioLabel,TreatmentYear,Unit,PreRMSPEPct,PostRMSPEPct,RMSPERatio,MeanGapPctCommonWindow
New Zealand,2010 start,2010,Wellington,7.681675799945807,3.0227923501626117,0.3935068894972028,2.67802507638629
New Zealand,2010 start,2010,West Coast,7.825907063703728,6.109787845631731,0.780713059316626,3.1063992239351568
New Zealand,2011 start (preferred),2011,Auckland,2.5204292706411846,3.393449623985218,1.3463776442819764,0.09315635289076694
New Zealand,2011 start (preferred),2011,Bay of Plenty,1.1290274484083942,5.365599503537159,4.75240837687438,4.536157525986192
New Zealand,2011 start (preferred),2011,Gisborne,10.87075211414281,8.42193722313169,0.7747336278761043,-8.175209728579103
New Zealand,2011 start (preferred),2011,Hawke's Bay,5.795621504197027,4.641214129975733,0.8008138776168692,-4.475827928983373
New Zealand,2011 start (preferred),2011,Manawatu-Whanganui,1.5896523619577425,2.816492484935061,1.7717663008196327,-1.8708446851600706
New Zealand,2011 start (preferred),2011,Marlborough,2.554171986324732,10.853265243818763,4.249230397141668,8.219972528201737
New Zealand,2011 start (preferred),2011,Northland,8.809757441963258,7.043707407237598,0.7995347719434945,-6.787735864658946
New Zealand,2011 start (preferred),2011,Otago,2.247139741192932,2.531092068085042,1.1263616684298277,1.9439462535915861
New Zealand,2011 start (preferred),2011,Southland,2.1514429178072034,7.605206518976429,3.5349329773191553,6.816493533085917
New Zealand,2011 start (preferred),2011,Taranaki,18.45919297281078,19.146221955460383,1.037218798441598,16.639508372196204
New Zealand,2011 start (preferred),2011,Tasman/Nelson,1.2574414123026778,2.7821905582899187,2.21258066663723,-2.4008298797091645
New Zealand,2011 start (preferred),2011,Waikato,1.9542200400021077,2.518232441830971,1.2886125360930467,-2.1693360950973877
New Zealand,2011 start (preferred),2011,Wellington,7.312148022674297,2.963936260516948,0.40534412751575255,2.4044697156883257
New Zealand,2011 start (preferred),2011,West Coast,8.03526624338611,5.74086220112817,0.7144582428558006,4.542943750999232
New Zealand,2012 sequence-aware start,2012,Auckland,2.514242879795235,4.048046908549825,1.6100460862713095,1.4667099664148635
New Zealand,2012 sequence-aware start,2012,Bay of Plenty,1.164129668114932,5.669836495653467,4.87045099094038,4.364748357430237
New Zealand,2012 sequence-aware start,2012,Gisborne,8.885386271870487,5.698606466104512,0.6413459462246747,-5.194723398908689
New Zealand,2012 sequence-aware start,2012,Hawke's Bay,5.990746297499601,4.383761568895324,0.731755502770165,-4.027936853936881
New Zealand,2012 sequence-aware start,2012,Manawatu-Whanganui,2.383277283312141,2.18429050937546,0.9165070823567198,0.09082030857032769
New Zealand,2012 sequence-aware start,2012,Marlborough,2.9387236247337896,12.863346762243639,4.377188332369599,9.477812678933036
New Zealand,2012 sequence-aware start,2012,Northland,7.065309818343678,8.131727042313498,1.150937078682817,-7.848951009404083
New Zealand,2012 sequence-aware start,2012,Otago,7.213523190172257,9.289285071267338,1.2877597848334514,9.053294475469869
New Zealand,2012 sequence-aware start,2012,Southland,2.307726685212984,7.833295162214102,3.3943773378393614,6.5417227478106
New Zealand,2012 sequence-aware start,2012,Taranaki,20.18117863685369,18.246816444695796,0.9041501873123765,17.417972887656084
New Zealand,2012 sequence-aware start,2012,Tasman/Nelson,0.9676465344428069,2.368470266074453,2.447660567955501,-1.9646977824687728
New Zealand,2012 sequence-aware start,2012,Waikato,2.446212192110021,2.9066766260725396,1.188235687585768,-2.7646791958239465
New Zealand,2012 sequence-aware start,2012,Wellington,7.005725729033564,3.1657256059226024,0.4518768973217158,2.4467588106723914
New Zealand,2012 sequence-aware start,2012,West Coast,8.220608488097152,5.41564084316758,0.6587883185300744,4.3418310263132325
