Country,ScenarioOrder,ScenarioLabel,Year,GapPct,Treated,Synthetic
Chile,2,Exclude adjacent O'Higgins,2008,-2.6733933371315772,2215647.95,2276507.9621801954
Chile,2,Exclude adjacent O'Higgins,2009,-0.8934017291909365,2185788.523,2205492.430511364
Chile,2,Exclude adjacent O'Higgins,2010,-4.09362753064848,2200720.16,2294654.7797992015
Chile,2,Exclude adjacent O'Higgins,2011,-4.467265891793995,2390392.714,2502171.3617999256
Chile,2,Exclude adjacent O'Higgins,2012,-4.913674458235617,2484540.292,2612931.226276827
Chile,2,Exclude adjacent O'Higgins,2013,-7.4515713948911735,2595026.948,2803966.5147342654
Chile,2,Exclude adjacent O'Higgins,2014,-6.8201375735816585,2797294.751,3002037.8632871984
Chile,2,Exclude adjacent O'Higgins,2015,-3.943158159187158,3128744.949,3257180.7369900974
Chile,2,Exclude adjacent O'Higgins,2016,-5.96342949191656,3153363.4950981685,3353337.4069900853
Chile,2,Exclude adjacent O'Higgins,2017,-8.083513820245058,3127655.629002725,3402714.5281491475
Chile,2,Exclude adjacent O'Higgins,2018,-3.4197956227405326,3340806.7888052226,3459100.9724471453
Chile,2,Exclude adjacent O'Higgins,2019,-5.046639832440158,3279486.748841041,3453786.9360851273
Chile,3,Exclude adjacent + near-ring,1990,-10.15186104319362,1067627.18,1188257.4223526781
Chile,3,Exclude adjacent + near-ring,1991,-3.7905115995411554,1165204.032,1211111.3481343933
Chile,3,Exclude adjacent + near-ring,1992,0.9101845776143123,1330369.726,1318370.124451369
Chile,3,Exclude adjacent + near-ring,1993,2.6293690662739433,1346841.761,1312335.6143115947
Chile,3,Exclude adjacent + near-ring,1994,7.115374295516021,1489088.481,1390172.5039879126
Chile,3,Exclude adjacent + near-ring,1995,8.002869177227803,1600176.293,1481605.3547375519
Chile,3,Exclude adjacent + near-ring,1996,3.222677920350297,1597085.711,1547223.6752396203
Chile,3,Exclude adjacent + near-ring,1997,0.6101208897629412,1636252.443,1626329.864758654
Chile,3,Exclude adjacent + near-ring,1998,-2.4012668441118317,1661033.28,1701900.451255795
Chile,3,Exclude adjacent + near-ring,1999,-5.079630316772016,1642218.688,1730101.4455384838
Chile,3,Exclude adjacent + near-ring,2000,-5.8849094910690605,1779899.31,1891194.388036102
Chile,3,Exclude adjacent + near-ring,2001,-1.7950339334367178,1857114.713,1891059.8795393386
Chile,3,Exclude adjacent + near-ring,2002,-1.7210446498023861,1857540.161,1890069.0940202032
Chile,3,Exclude adjacent + near-ring,2003,-1.693891511692195,1893727.082,1926357.4879736323
Chile,3,Exclude adjacent + near-ring,2004,-1.3615145221302565,1980969.704,2008313.1795899733
Chile,3,Exclude adjacent + near-ring,2005,3.5245831353995563,2125212.491,2052857.8108065787
Chile,3,Exclude adjacent + near-ring,2006,6.128210056034525,2234582.32,2105549.805108524
Chile,3,Exclude adjacent + near-ring,2007,-0.3274284810893765,2161353.107,2168453.2405085303
Chile,3,Exclude adjacent + near-ring,2008,-2.204354788756853,2215647.95,2265589.5824544104
Chile,3,Exclude adjacent + near-ring,2009,0.6619403609531695,2185788.523,2171415.050377738
Chile,3,Exclude adjacent + near-ring,2010,-2.89773490591511,2200720.16,2266394.2575053894
Chile,3,Exclude adjacent + near-ring,2011,-5.128974608107766,2390392.714,2519623.5669697793
Chile,3,Exclude adjacent + near-ring,2012,-1.1078905083414559,2484540.292,2512374.6523068845
Chile,3,Exclude adjacent + near-ring,2013,-1.1448932103276719,2595026.948,2625081.3258654126
Chile,3,Exclude adjacent + near-ring,2014,-4.587106648146398,2797294.751,2931778.560245974
