Country,AnalysisType,CandidateTreatmentYear,Year,Gap,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio
Chile,placebo,1993,2008,-101718.06115851412,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2009,-42431.2931280178,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2010,-98717.1942181047,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2011,-164130.09878869494,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2012,-78097.10989188822,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2013,-114286.97213479318,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2014,-242904.67136285454,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2015,-36804.23203655658,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2016,-59197.72938284511,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2017,-179642.97536574584,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2018,-110489.234268656,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2019,-191285.60995133733,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2020,-85255.42907212302,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2021,-81079.29856014298,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2022,-88649.8511773604,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1993,2023,-132149.45107436227,86054.88184596489,103743.29408484086,1.2055480393377054
Chile,placebo,1994,1994,82769.92102433718,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,1995,108437.83809336787,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,1996,40275.47328830627,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,1997,3540.0793765711132,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,1998,-43998.27184388414,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,1999,-92958.72992551816,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2000,-111950.8612544944,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2001,-37000.53245376819,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2002,-43414.24752297974,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2003,-39661.29220335581,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2004,-35870.217312957626,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2005,52407.94901691447,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2006,113998.42403790774,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2007,-27310.475678402,70148.45285597161,77844.80419894593,1.1097151972656678
Chile,placebo,1994,2008,-65739.0561471018,70148.45285597161,77844.80419894593,1.1097151972656678
